userId,movieId,label,assigned,score
2089,2840,0,A,0.5530544444318604
4765,913,1,A,0.9440009471460814
2453,2917,1,A,0.8046569600440413
3589,2967,0,A,0.38467760329026485
1355,898,1,B,0.8137626176385143
4445,3616,0,B,0.4116719036524454
1865,3825,1,A,0.21904980747985034
4465,2542,0,A,0.6276948730137742
869,829,0,A,0.24922690182112628
691,608,0,A,0.961834613512229
2985,2174,1,B,0.5628051832386441
1265,1617,1,A,0.8518959642056014
146,290,1,A,0.7540723677442157
1701,412,0,B,0.5628051832386441
3821,2435,0,B,0.4209544882706595
1733,1546,1,B,0.5475791270250735
10,1921,1,A,0.7165829892248776
3412,1285,1,B,0.717241170049634
173,2819,1,A,0.8185373290264425
1079,1223,1,A,0.860500755555783
